Aurora,Aurora_laser,NorthernLights,NorthernLights_laser,ID7000,ID7000_laser,Discover,Discover_laser,Opteon,Opteon_laser,Mosaic,Mosaic_laser,Xenith,Xenith_description,Xenith_laser,A5SE,A5SE_laser
UV1-A,UV,V1-A,Violet,320CH1-A,DeepUV,UV1 (375)-A,UV,UV380-A,UV,U1-A,UV,FL07-A,349nm - 387/11-A,UV,UV379-A,UV
UV2-A,UV,V2-A,Violet,320CH2-A,DeepUV,UV2 (390)-A,UV,UV424-A,UV,U2-A,UV,FL08-A,349nm - 420/10-A,UV,UV446-A,UV
UV3-A,UV,V3-A,Violet,320CH3-A,DeepUV,UV3 (420)-A,UV,UV440-A,UV,U3-A,UV,FL10-A,349nm - 434/17-A,UV,UV515-A,UV
UV4-A,UV,V4-A,Violet,320CH4-A,DeepUV,UV4 (440)-A,UV,UV455-A,UV,U4-A,UV,FL09-A,349nm - 455/14-A,UV,UV540-A,UV
UV5-A,UV,V5-A,Violet,320CH5-A,DeepUV,UV5 (460)-A,UV,UV469-A,UV,U5-A,UV,FL11-A,349nm - 473/15-A,UV,UV585-A,UV
UV6-A,UV,V6-A,Violet,320CH6-A,DeepUV,UV6 (475)-A,UV,UV508-A,UV,U6-A,UV,FL06-A,349nm - 507/19-A,UV,UV610-A,UV
UV7-A,UV,V7-A,Violet,320CH7-A,DeepUV,UV7 (500)-A,UV,UV525-A,UV,U7-A,UV,FL05-A,349nm - 549/15-A,UV,UV660-A,UV
UV8-A,UV,V8-A,Violet,320CH8-A,DeepUV,UV8 (515)-A,UV,UV543-A,UV,U8-A,UV,FL04-A,349nm - 575/15-A,UV,UV695-A,UV
UV9-A,UV,V9-A,Violet,320CH9-A,DeepUV,UV9 (530)-A,UV,UV582-A,UV,U9-A,UV,FL03-A,349nm - 615/24-A,UV,UV736-A,UV
UV10-A,UV,V10-A,Violet,320CH10-A,DeepUV,UV10 (545)-A,UV,UV600-A,UV,U10-A,UV,FL00-A,349nm - 670/30-A,UV,UV809-A,UV
UV11-A,UV,V11-A,Violet,320CH11-A,DeepUV,UV11 (575)-A,UV,UV618-A,UV,U11-A,UV,FL01-A,349nm - 728/40-A,UV,V427-A,Violet
UV12-A,UV,V12-A,Violet,320CH12-A,DeepUV,UV12 (590)-A,UV,UV661-A,UV,U12-A,UV,FL02-A,349nm - 810/25-A,UV,V450-A,Violet
UV13-A,UV,V13-A,Violet,320CH13-A,DeepUV,UV13 (605)-A,UV,UV681-A,UV,U13-A,UV,FL16-A,405nm - 420/10-A,Violet,V470-A,Violet
UV14-A,UV,V14-A,Violet,320CH14-A,DeepUV,UV14 (625)-A,UV,UV700-A,UV,U14-A,UV,FL15-A,405nm - 434/17-A,Violet,V510-A,Violet
UV15-A,UV,V15-A,Violet,320CH15-A,DeepUV,UV15 (655)-A,UV,UV717-A,UV,U15-A,UV,FL17-A,405nm - 455/14-A,Violet,V540-A,Violet
UV16-A,UV,V16-A,Violet,320CH16-A,DeepUV,UV16 (675)-A,UV,UV735-A,UV,U16-A,UV,FL18-A,405nm - 473/15-A,Violet,V576-A,Violet
V1-A,Violet,B1-A,Blue,320CH17-A,DeepUV,UV17 (700)-A,UV,UV757-A,UV,U17-A,UV,FL13-A,405nm - 507/19-A,Violet,V595-A,Violet
V2-A,Violet,B2-A,Blue,320CH18-A,DeepUV,UV18 (725)-A,UV,UV784-A,UV,U18-A,UV,FL14-A,405nm - 549/15-A,Violet,V615-A,Violet
V3-A,Violet,B3-A,Blue,320CH19-A,DeepUV,UV19 (750)-A,UV,UV815-A,UV,U19-A,UV,FL12-A,405nm - 575/15-A,Violet,V660-A,Violet
V4-A,Violet,B4-A,Blue,320CH20-A,DeepUV,UV20 (780)-A,UV,V424-A,Violet,U20-A,UV,FL23-A,405nm - 615/24-A,Violet,V680-A,Violet
V5-A,Violet,B5-A,Blue,320CH21-A,DeepUV,UV21 (810)-A,UV,V440-A,Violet,V1-A,Violet,FL22-A,405nm - 661/20-A,Violet,V710-A,Violet
V6-A,Violet,B6-A,Blue,320CH22-A,DeepUV,UV22 (845)-A,UV,V455-A,Violet,V2-A,Violet,FL21-A,405nm - 710/20-A,Violet,V750-A,Violet
V7-A,Violet,B7-A,Blue,320CH23-A,DeepUV,V1 (420)-A,Violet,V469-A,Violet,V3-A,Violet,FL19-A,405nm - 747/33-A,Violet,V785-A,Violet
V8-A,Violet,B8-A,Blue,320CH24-A,DeepUV,V2 (440)-A,Violet,V508-A,Violet,V4-A,Violet,FL20-A,405nm - 770/LP-A,Violet,V845-A,Violet
V9-A,Violet,B9-A,Blue,320CH25-A,DeepUV,V3 (460)-A,Violet,V525-A,Violet,V5-A,Violet,FL37-A,488nm - 520/40-A,Blue,B510-A,Blue
V10-A,Violet,B10-A,Blue,320CH26-A,DeepUV,V4 (475)-A,Violet,V543-A,Violet,V6-A,Violet,FL36-A,488nm - 549/15-A,Blue,B537-A,Blue
V11-A,Violet,B11-A,Blue,320CH27-A,DeepUV,V5 (500)-A,Violet,V582-A,Violet,V7-A,Violet,FL38-A,488nm - 583/30-A,Blue,B576-A,Blue
V12-A,Violet,B12-A,Blue,320CH28-A,DeepUV,V6 (515)-A,Violet,V600-A,Violet,V8-A,Violet,FL39-A,488nm - 615/24-A,Blue,B602-A,Blue
V13-A,Violet,B13-A,Blue,320CH29-A,DeepUV,V7 (530)-A,Violet,V618-A,Violet,V9-A,Violet,FL42-A,488nm - 670/30-A,Blue,B660-A,Blue
V14-A,Violet,B14-A,Blue,320CH30-A,DeepUV,V8 (545)-A,Violet,V661-A,Violet,V10-A,Violet,FL41-A,488nm - 720/24-A,Blue,B675-A,Blue
V15-A,Violet,R1-A,Red,320CH31-A,DeepUV,V9 (575)-A,Violet,V681-A,Violet,V11-A,Violet,FL40-A,488nm - 750/LP-A,Blue,B710-A,Blue
V16-A,Violet,R2-A,Red,320CH32-A,DeepUV,V10 (590)-A,Violet,V700-A,Violet,V12-A,Violet,FL31-A,561nm - 575/15-A,YellowGreen,B750-A,Blue
B1-A,Blue,R3-A,Red,320CH33-A,DeepUV,V11 (605)-A,Violet,V717-A,Violet,V13-A,Violet,FL32-A,561nm - 589/15-A,YellowGreen,B810-A,Blue
B2-A,Blue,R4-A,Red,320CH34-A,DeepUV,V12 (625)-A,Violet,V735-A,Violet,V14-A,Violet,FL34-A,561nm - 605/15-A,YellowGreen,YG585-A,YellowGreen
B3-A,Blue,R5-A,Red,320CH35-A,DeepUV,V13 (655)-A,Violet,V757-A,Violet,V15-A,Violet,FL33-A,561nm - 622/15-A,YellowGreen,YG602-A,YellowGreen
B4-A,Blue,R6-A,Red,355CH1-A,UV,V14 (675)-A,Violet,V784-A,Violet,V16-A,Violet,FL35-A,561nm - 661/20-A,YellowGreen,YG660-A,YellowGreen
B5-A,Blue,R7-A,Red,355CH2-A,UV,V15 (700)-A,Violet,V815-A,Violet,V17-A,Violet,FL24-A,561nm - 685/15-A,YellowGreen,YG670-A,YellowGreen
