fluorophore,synonym1,synonym2,synonym3,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,excitation.laser,nominal.wavelength,is.viability
7-AAD,7AAD,7-Aminoactinomycin D,,YG-4,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG,647,TRUE
Alexa Fluor 350,AF350,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV,441,
Alexa Fluor 405,AF405,,,V2-A,V2-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,Violet,422,
Alexa Fluor 488,AF488,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,Blue,520,
Alexa Fluor 532,AF532,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,553,
Alexa Fluor 568,AF568,,,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,603,
Alexa Fluor 594,AF594,,,YG3-A,V10-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YellowGreen,618,
Alexa Fluor 647,AF647,,,R2-A,R2-A,637CH19-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,Red,671,
Alexa Fluor 660,AF660,,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R675-A,Red,691,
Alexa Fluor 680,AF680,,,R4-A,R4-A,637CH22-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,Red,704,
Alexa Fluor 700,AF700,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,719,
AmCyan,Amcyan,,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,Violet,498,
APC,APC,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R681-A,R1-A,FL46-A,R660-A,Red,660,
APC-Cy5.5,APC Cy5.5,APCCy5.5,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,Red,700,
APC-Cy7,APC Cy7,APCCy7,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,774,
APC-eFluor 780,APCe780,APC-eFluor780,APC-e780,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,785,
APC-Fire 750,APC Fire 750,APC-Fire750,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,774,
APC-Fire 810,APC Fire 810,APC-Fire810,,R8-A,R8-A,637CH32-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,Red,807,
APC-H7,APC H7,APCH7,,R7-A,R7-A,637CH30-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,785,
APC-R700,APC R700,APCR700,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,705,
APC-Vio770,APC Vio770,APCVio770,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,775,
BB515,Brilliant Blue 515,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,Blue,515,
BB630,Brilliant Blue 630,BB630-P,,B6-A,B6-A,488CH14-A,B8 (625)-A,B618-A,B7-A,FL39-A,B602-A,Blue,630,
BB660,Brilliant Blue 660,BB660-P,BB660-P2,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,Blue,660,
BB700,Brilliant Blue 700,,,B9-A,B9-A,488CH21-A,B11 (700)-A,B700-A,B10-A,FL41-A,B710-A,Blue,700,
BB755,Brilliant Blue 755,BB755-P,,B12-A,B12-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,Blue,755,
BB790,Brilliant Blue 790,BB790-P,,B14-A,B14-A,488CH30-A,B14 (780)-A,B784-A,B13-A,FL40-A,B810-A,Blue,790,
BUV395,Brilliant UV395,Brilliant Ultraviolet 395,,UV2-A,V1-A,355CH1-A,UV3 (420)-A,UV380-A,U3-A,FL08-A,UV379-A,UV,399,
