marker,synonym1,synonym2,synonym3,synonym4,synonym5,synonym6,synonym7,synonym8,synonym9
ACSA-2,ASCA2,ACSA-2,ASCA-2,ACSA2,ASCA2,ACSA.2,,,
Annexin V,Annexin,AnnV,AnnexinV,,,,,,
Areg,A-reg,A.reg,Amphiregulin,,,,,,
B220,,,,,,,,,
BAFFR,BAFF-R,BAFF.R,CD268,TNFRSF13C,BR3,,,,
BATF,Batf,,,,,,,,
Bcl-6,Bcl-6,Bcl.6,Bcl6,,,,,,
BDNF,,,,,,,,,
BFP,Blue Fluorescent Protein,,,,,,,,
Blimp-1,Blimp1,Prdm1,,,,,,,
BP1,BP-1,BP.1,Ly51,Ly-51,Ly.51,,,,
BTLA,CD272,BTLA (CD272),,,,,,,
CADM1,Cell adhesion molecule 1,,,,,,,,
CAR-T,CAR.T,CAR T,,,,,,,
CCR1,CD191,CCR1 (CD191),,,,,,,
CCR2,CD192,CCR2 (CD192),,,,,,,
CCR3,CD193,CCR3 (CD193),,,,,,,
CCR4,CD194,CCR4 (CD194),,,,,,,
CCR5,CD195,CCR5 (CD195),,,,,,,
CCR6,CD196,CCR6 (CD196),,,,,,,
CCR7,CD197,CCR7 (CD197),,,,,,,
CCR8,CD198,CCR8 (CD198),,,,,,,
CCR9,CD199,CCR9 (CD199),,,,,,,
CD10,,,,,,,,,
CD101,,,,,,,,,
CD103,,,,,,,,,
CD107a,LAMP.1,CD107a (LAMP.1),,,,,,,
CD117,CD117,c-Kit,c.Kit,,,,,,
CD11a,LFA.1,LFA1,LFA-1,,,,,,
CD11b,Itgam,,,,,,,,
CD11c,Itgax,,,,,,,,
CD122,IL-2R-beta,CD122 (IL-2R-beta),,,,,,,
CD123,IL3Ra,CD123 (IL3Ra),,,,,,,
CD127,IL7Ralpha,IL7RA,CD127,,,,,,
CD132,gc,Common Gamma Chain,,,,,,,
CD134,TNFRSF4,OX40,OX-40,OX.40,,,,,
CD135,FLT.3,FLT-3,FLT3,FLK2,,,,,
CD137,4-1BB,41BB,4.1BB,4_1BB,CD137,TNFRSF9,,,
CD138,,,,,,,,,
CD14,,,,,,,,,
CD141,BDCA-3,Thrombomodulin,BDCA3,BDCA_3,BDCA.3,,,,
CD146,MCAM,CD146 (MCAM),,,,,,,
CD15,Le X,Lewis X,,,,,,,
CD150,SLAM1,SLAMF1,,,,,,,
CD154,CD40L,,,,,,,,
CD16,FcgRIII,CD16 (FcgRIII),,,,,,,
CD16/32,CD16-32,CD16.32,CD16_32,FcgRII/III,,,,,
CD161,,,,,,,,,
CD163,,,,,,,,,
CD169,,,,,,,,,
CD172a,SIRP1alpha,SIRP1a,,,,,,,
CD19,,,,,,,,,
CD1c,,,,,,,,,
CD1d,,,,,,,,,
CD2,,,,,,,,,
CD20,,,,,,,,,
CD200R,Cd200r1,CD200R-1,MO2R1,CD200 receptor 1,Orexin receptor 2,Ox2r,Mox2r,,
CD205,DEC.205,DEC-205,DEC205,DEC 205,,,,,
CD206,Mannose Receptor,MMR,,,,,,,
CD21,CD21-35,CD21_35,CD21.35,CD21/35,,,,,
CD226,DNAM1,,,,,,,,
CD23,FceRII,FceR2,,,,,,,
CD24,CD24,,,,,,,,
CD25,IL2Ralpha,CD25 (IL2Ralpha),,,,,,,
CD27,,,,,,,,,
CD272,BTLA,CD272 (BTLA),,,,,,,
CD28,,,,,,,,,
CD3,,,,,,,,,
CD301,CLEC10A,,,,,,,,
CD303,,,,,,,,,
CD304,BDCA2,BDCA-2,PECAM-1,PECAM1,PECAM,,,,
CD31,PECAM_1,PECAM.1,FcgRIIa,,,,,,
CD32,FcgRII,FcgRIIb,,,,,,,
CD34,,,,,,,,,
CD38,,,,,,,,,
CD39,,,,,,,,,
CD4,L3T4,,,,,,,,
CD40,,,,,,,,,
CD44,,,,,,,,,
CD45,,,,,,,,,
CD45.1,CD45_1,,,,,,,,
CD45.2,CD45_2,,,,,,,,
CD45RA,,,,,,,,,
CD45RB,,,,,,,,,
CD45RO,,,,,,,,,
CD48,,,,,,,,,
CD49a,ITGA1,,,,,,,,
CD49b,Integrin alpha-2,Itga2,Integrin a2,Integrin alpha-2,,,,,
CD5,,,DX5,,,,,,
CD56,NCAM,,,,,,,,
CD57,L2,HNK-1,LEU-7,,,,,,
CD62L,L-Selectin,L-selectin,L Selectin,,,,,,
CD64,FcgRI,CD64 (FcgRI),,,,,,,
CD68,,,,,,,,,
CD69,,,,,,,,,
CD71,,,,,,,,,
CD72,,,,,,,,,
CD73,,,,,,,,,
CD8,CD8alpha,CD8a,Cd8,Cd8a,,,,,
CD80,B7.1,B7_1,B7-1,,,,,,
CD83,,,,,,,,,
CD86,B7.2,B7_2,B7-2,,,,,,
CD90,Thy1,CD90 (Thy1),,,,,,,
CD90.1,Thy1.1,,,,,,,,
CD90.2,Thy1.2,,,,,,,,
CD94,KLRD1,CD94 (KLRD1),,,,,,,
CD95,Fas,CD95 (Fas),,,,,,,
CLEC12A,Clec12a,CLEC12A (Clec12a),,,,,,,
CTLA-4,CD152,CTLA4,CTLA.4,CTLA_4,,,,,
CX3CR1,Fractalkine Receptor,CX3CR1 (Fractalkine Receptor),,,,,,,
CXCR1,CD181,CXCR1 (CD181),,,,,,,
CXCR2,CD182,CXCR2 (CD182),,,,,,,
CXCR3,CD183,CXCR3 (CD183),,,,,,,
CXCR4,CD184,CXCR4 (CD184),,,,,,,
CXCR5,CD185,CXCR5 (CD185),,,,,,,
CXCR6,CD186,CXCR6 (CD186),,,,,,,
CXCR7,ACKR3,CXCR7 (ACKR3),,,,,,,
CXCR8,CD188,CXCR8 (CD188),,,,,,,
Cytokeratin8,Cytokeratin-8,Keratin8,Cytokeratin8,Keratin-8,,,,,
DCIR2,,,,,,,,,
E-Cadherin,CD324,Cadherin-1,Cadherin1,Cadherin.1,CDH1,,,,
Eomes,,,,,,,,,
EOS,,,,,,,,,
EpCAM,CD326,EpCAM (CD326),,,,,,,
F4/80,F4-80,F4_80,F480,,,,,,
FasL,CD178,FasL (CD178),,,,,,,
FceRIa,FcER1,FceR1a,FceRIalpha,FceR1,FceRI,FceR1alpha,FcER1alpha,FcER1a,
FcRL5,Fcrl5,,,,,,,,
FOLR2,FolR2,Folr2,,,,,,,
FoxP3,Fox-P3,Foxp3,Foxp-3,,,,,,
FR2,Folate Receptor 2,Fr2,,,,,,,
GARP,LRRC32,Garp,,,,,,,
GATA-3,GATA-3,Gata3,GATA 3,,,,,,
GFAP,GFAP,Gfap,,,,,,,
GFP,Green Fluorescent Protein,Gfp,eGFP,,,,,,
GITR,GITR,Gitr,,,,,,,
GMCSF,GM_CSF,Gmcsf,,,,,,,
GPR183,GPR183,Gpr183,,,,,,,
Granzyme B,Granzyme-B,Granzymeb,Granzyme_B,GranzymeB,,,,,
HA,HA tag,Ha,HA Tag,HA.Tag,,,,,
Helios,Ikzf2,IKZF2,,,,,,,
HLA-DR,HLA.DR,Hladr,HLA_DR,HLADR,,,,,
ICOS,ICOS (CD278),Icos,CD278,,,,,,
IFNg,Interferon gamma,Ifng,Interferon,IFN-g,Interferon-g,Interferon-gamma,,,
IgD,Igd,,,,,,,,
IgE,Ige,,,,,,,,
IgG,Igg,,,,,,,,
IgG1,Igg1,,,,,,,,
IgG2,Igg2,,,,,,,,
IgG2a,Igg2a,,,,,,,,
IgG2b,Igg2b,,,,,,,,
IgG3,Igg3,,,,,,,,
IgG4,Igg4,,,,,,,,
IgM,Igm,,,,,,,,
IL-10,IL10,IL_10,Il10,,,,,,
IL-12p35,IL12p35,IL-12p35,Il12P35,,,,,,
IL-12p40,IL12p40,IL-12p40,Il12P40,,,,,,
IL-13,IL13,IL_13,Il13,,,,,,
IL-15,IL15,IL_15,Il15,,,,,,
IL-17,IL17,IL_17,Il17,IL-17A,IL17A,,,,
IL-17F,IL17F,IL.17F,Il17F,,,,,,
IL-17RB,IL17RB,IL17RB,Il17Rb,,,,,,
IL-1a,IL1a,IL-1 alpha,Il1A,IL-1.alpha,,,,,
IL-1b,IL1b,pro-IL-1-beta,Il1B,,,,,,
IL-2,IL2,IL.2,Il2,,,,,,
IL-2,Interleukin-9,IL9,,,,,,,
IL-18R,IL18R,IL-18Receptor,IL_18R,IL-18-R,IL18-R,,,,
IL-21,IL21,IL-21,Il21,,,,,,
IL-22,IL22,IL-22,Il22,,,,,,
IL-23,IL23,IL-23p19,Il23,IL_23p19,,,,,
IL-27,IL27,IL-27,Il27,IL.27,,,,,
IL-33,IL33,IL-33,Il33,,,,,,
IL-35,IL35,IL-35,Il35,EBI3,IL.35,,,,
IL-4,IL4,Interleukin-4,Il4,,,,,,
IL-5,IL5,Interleukin-5,Il5,,,,,,
IL-6,IL6,Interleukin-6,Il6,,,,,,
IL-7,IL7,Interleukin-7,Il7,,,,,,
IntegrinB7,Integrin-b7,Integrinb7,Integrin B7,Itgb7,,,,,
IRF4,IRF.4,Irf4,IRF-4,,,,,,
ivCD45,intravenous*CD45,,i.v.*CD45,intravenousCD45,i.v.CD45,injectedCD45,injCD45,,
Ki67,Ki_67,Ki67,,,,,,,
KLRG1,Klrg1,,,,,,,,
LAG3,LAG-3,Lag3,,,,,,,
LAP,latent.TGF-beta,Lap,,,,,,,
Ly49D,,,,,,,,,
Ly6C,Ly.6c,Ly-6C,Ly_6C,,,,,,
Ly6G,Ly.6G,Ly-6G,Ly_6G,,,,,,
LYVE1,Lyve1,,,,,,,,
mCherry,cherry,,,,,,,,
MerTK,MertK,Mertk,,,,,,,
MHCI,H-2Kk,H-2Db,H-2Kb,H-2Db,MHC1,,,,
MHCII,I-A,I-E,ClassII,MHC2,,,,,
Neuropilin,CD304,Neuropilin,Neuropilin-1,Nrp1,Nrp-1,,,,
NFIL3,E4BP4,Nfil3,,,,,,,
NK1.1,NK1-1,NK1_1,NK11,,,,,,
NKp46,NK.p46,Nkp46,NKp46 (CD335),CD335,NK-p46,,,,
Nur77,,,,,,,,,
O4,,,,,,,,,
P2RY12,P2Ry12,P2RY12 (P2Ry12),,,,,,,
P2XR7,P2RX7,P2Xr7,,,,,,,
PanCytokeratin,Pan.cytokeratin,Pan-cytokeratin,Pan_cytokeratin,,,,,,
PAX5,Pax5,PAX5 (Pax5),,,,,,,
PD-1,CD279,Pd1,PD1 (CD279),PD.1,PD_1,PD-1,,,
PDCA-1,PDCA1,PDCA.1,PDCA_1,plasmacytoid,,,,,
PD-L1,B7-H1,CD274,PDL1,PD-L1,PD_L1,,,,
PD-L2,B7-DC,CD273,PDL2,PD-L2,PD_L2,,,,
Perforin,Perf,Perforin,,,,,,,
pSTAT3,pSTAT3,Pstat3,phospho-STAT3,,,,,,
pSTAT5,pSTAT5,Pstat5,phospho-STAT5,,,,,,
RFP,tdT,Rfp,Red Fluorescent Protein,dsRed,ROSA-RFP,,,,
RORgT,RORgamma,Rorgt,RORc,ROR-gamma,ROR-g,,,,
S1P1,S1P1R,S1P1,,,,,,,
Siglec F,SiglecF,Siglec-F,Siglec.F,Siglec_F,,,,,
Siglec-8,Siglec8,Siglec 8,Siglec_8,,,,,,
ST2,IL-33R,St2,IL33R,,,,,,
Stabilin2,STAB2,Stabilin2,,,,,,,
T-bet,T.bet,Tbet,,,,,,,
TCF1,TCF1/7,Tcf1,TCF7,TCF1 (TCF7),,,,,
TCR Va24-Ja18,TCR.Va24_Ja18,Tcr Va24-Ja18,TCR Va24,TCR Va24_Ja18,,,,,
TCR Va7.2,TCR.Va7.2,Tcr Va7.2,TCR Valpha7.2,TCR 7.2,,,,,
TCR Vb11,TCR-Vb11,Tcr Vb11,,,,,,,
TCR Vd2,TCRVdelta2,Tcr Vd2,,,,,,,
TCR Vg9,TCRVgamma9,Tcr Vg9,,,,,,,
TCRab,TCRalpha/beta,Tcrab,TCR-ab,TCR-alpha,TCR alpha/beta,TCR a/b,,,
TCRbeta,TCR-beta,Tcrbeta,TCR-b,TCR-beta,,,,,
TCRgd,TCRgamma,Tcrg,gdTCR,gd TCR,TCR-gamma,TCR-gd,TCRgd,TCR gd,
